#cube 1
-300, -250, 1400
-100, -50, 1600
#cube 2
-300, -250, 1000
-100, -50, 1200
#cube 3
100, -250, 1400
300, -50, 1600
#cube 4
100, -250, 1000
300, -50, 1200
#cube 5
-300, 50, 1400
-100, 250, 1600
#cube 6
-300, 50, 1000
-100, 250, 1200
#cube 7
100, 50, 1400
300, 250, 1600
#cube 8
100, 50, 1000
300, 250, 1200
#cube 9
-600, -100, 1200
-400, 100, 1400
#cube 10
600, -100, 1200
400, 100, 1400
#cube 11 (in front)
-100, -100, 800
100, 100, 600
#cube 12 (in back)
-100, -100, 2000
100, 100, 1800
#cube 13 (far up)
-100, 400, 1200
100, 600, 1400
#cube 14 (far down)
-100, -400, 1200
100, -600, 1400
